Title,Employees,Sector,Industry,Hqcity,Hqstate,Revenues,Revchange,Prftchange,Assets,Totshequity,Profits
L Brands,59100,Retailing,Specialty Retailers: Apparel,Columbus,OH,12574,3.5,-7.6,8170,-729,1158.1
J.C. Penney,106000,Retailing,General Merchandisers,Plano,TX,12547,-0.6,-7.6,9314,1354,1
Farmers Insurance Exchange,13309,Financials,Insurance: Property and Casualty (Mutual),Woodland Hills,CA,12513,-0.9,-7.6,16057,4219,-147.9
Reynolds American,5525,"Food, Beverages & Tobacco",Tobacco,Winston-Salem,NC,12503,17.1,86.7,51095,21711,6073
Viacom,9650,Media,Entertainment,New York,NY,12488,-5.9,-25.2,22508,4277,1438
Becton Dickinson,50928,Health Care,Medical Products and Equipment,Franklin Lakes,NJ,12483,21.4,40.4,25586,7633,976
Micron Technology,31400,Technology,Semiconductors and Other Electronic Components,Boise,ID,12399,-23.4,-109.5,27540,12080,-276
Principal Financial,14854,Financials,"Insurance: Life, Health (Stock)",Des Moines,IA,12394,3.6,6.7,228014,10227,1316.5
Arconic,41500,Aerospace & Defense,Aerospace and Defense,New York,NY,12394,-45,6.7,20038,5115,-941
NRG Energy,8763,Energy,Energy,Princeton,NJ,12351,-15.8,6.7,30355,2041,-774
VF,69000,Apparel,Apparel,Greensboro,NC,12207,-1.4,-12.8,9739,4941,1074.1
Devon Energy,3545,Energy,"Mining, Crude-Oil Production",Oklahoma City,OK,12197,-7.2,-12.8,25913,5927,-3302
D.R. Horton,6976,Engineering & Construction,Homebuilders,Fort Worth,TX,12157,12.3,18.1,11559,6793,886.3
Bed Bath & Beyond,62000,Retailing,Specialty Retailers: Other,Union,NJ,12104,1.9,-12.1,6499,2560,841.5
Consolidated Edison,14960,Energy,Utilities: Gas and Electric,New York,NY,12075,-3.8,4.4,48255,14298,1245
Edison International,12390,Energy,Utilities: Gas and Electric,Rosemead,CA,11869,3,28.5,51319,11996,1311
Sherwin-Williams,42550,Chemicals,Chemicals,Cleveland,OH,11856,4.6,7.5,6753,1878,1132.7
NGL Energy Partners,3200,Energy,Energy,Tulsa,OK,11742,-30.1,-633.2,5560,1656,-198.9
Dominion Energy,16200,Energy,Utilities: Gas and Electric,Richmond,VA,11737,0.5,11.8,71610,14605,2123
Ameriprise Financial,13195,Financials,Diversified Financials,Minneapolis,MN,11735,-3.8,-15.9,139821,6292,1314
ADP,57000,Business Services,Diversified Outsourcing Services,Roseland,NJ,11668,1.7,2.8,43670,4482,1492.5
